Year,Job_Title,Industry,Automation_Risk,Automation_Risk_Cat,AI_Adoption,Degree_Required,Salary_USD,Experience_Years,Skill_Score,Remote_Work,Job_Demand_Index,Skills,Location,Company_Size,Job_Growth
2020,Data Scientist,Technology,27.7,Low,High,Yes,89153,4,40.0,Yes,114.6,"Python, ML",San Francisco,Medium,Growth
2020,Data Scientist,Technology,23.8,Low,High,Yes,95211,3,80.0,Yes,91.7,"Python, ML, TensorFlow, SQL",New York,Large,Growth
2020,Data Scientist,Technology,22.4,Low,High,Yes,113171,3,60.0,Yes,107.4,"TensorFlow, ML, Python",Berlin,Medium,Growth
2020,Data Scientist,Technology,29.7,Low,High,Yes,100378,2,60.0,No,101.9,"Python, SQL, ML",Singapore,Medium,Growth
2020,Data Scientist,Technology,28.7,Low,High,Yes,96627,7,100.0,No,113.8,"SQL, Python, Statistics, ML, TensorFlow",Sydney,Medium,Growth
2020,Data Scientist,Technology,38.3,Medium,High,Yes,80655,7,40.0,No,83.0,"Statistics, ML",Sydney,Large,Growth
2020,Data Scientist,Technology,30.2,Low,High,Yes,103847,7,40.0,No,116.6,"Statistics, TensorFlow",Paris,Large,Growth
2020,Data Scientist,Technology,25.9,Low,High,Yes,104025,10,60.0,No,98.9,"SQL, Python, ML",Dubai,Small,Growth
2020,Data Scientist,Technology,24.8,Low,High,Yes,109864,3,40.0,No,88.1,"Statistics, ML",Tokyo,Medium,Growth
2020,Data Scientist,Technology,26.7,Low,High,Yes,103290,11,40.0,No,83.1,"Python, SQL",Singapore,Medium,Growth
2020,Data Scientist,Technology,29.6,Low,High,Yes,98123,3,100.0,No,93.0,"TensorFlow, ML, Statistics, Python, SQL",Dubai,Small,Growth
2020,Data Scientist,Technology,18.0,Low,High,Yes,107100,4,40.0,No,86.6,"TensorFlow, SQL",Dubai,Large,Growth
2020,Data Scientist,Technology,21.7,Low,High,Yes,90119,10,100.0,No,118.9,"Statistics, Python, ML, TensorFlow, SQL",Singapore,Large,Growth
2020,Data Scientist,Technology,25.9,Low,High,Yes,95572,12,60.0,Yes,93.8,"TensorFlow, SQL, ML",San Francisco,Medium,Growth
2020,Data Scientist,Technology,28.8,Low,High,Yes,84076,1,80.0,No,98.8,"Statistics, Python, SQL, TensorFlow",Dubai,Small,Growth
2020,Data Scientist,Technology,21.7,Low,High,Yes,111212,7,80.0,No,112.4,"Python, ML, Statistics, TensorFlow",New York,Small,Growth
2020,Data Scientist,Technology,31.2,Low,High,Yes,95623,2,80.0,No,115.1,"Python, SQL, ML, TensorFlow",New York,Small,Growth
2020,Data Scientist,Technology,23.4,Low,High,Yes,97468,7,40.0,No,108.0,"Python, TensorFlow",Dubai,Large,Growth
2020,Data Scientist,Technology,28.3,Low,High,Yes,105475,5,60.0,No,106.1,"Statistics, ML, TensorFlow",Dubai,Medium,Growth
2020,Data Scientist,Technology,18.9,Low,High,Yes,102314,8,80.0,No,92.3,"Python, ML, TensorFlow, Statistics",Paris,Medium,Growth
2020,Data Scientist,Technology,24.6,Low,High,Yes,98240,4,60.0,No,105.8,"Statistics, ML, SQL",Berlin,Large,Growth
2020,Data Scientist,Technology,29.4,Low,High,Yes,78059,4,60.0,No,80.6,"Statistics, SQL, ML",Berlin,Small,Growth
2020,Data Scientist,Technology,20.3,Low,High,Yes,89329,2,40.0,No,117.4,"Python, SQL",Singapore,Large,Growth
2020,Data Scientist,Technology,22.4,Low,High,Yes,95552,1,60.0,No,113.9,"TensorFlow, SQL, ML",Paris,Small,Growth
2020,Data Scientist,Technology,17.2,Low,High,Yes,90150,5,100.0,No,111.9,"TensorFlow, Statistics, ML, SQL, Python",Berlin,Large,Growth
2020,Data Scientist,Technology,29.4,Low,High,Yes,80174,11,80.0,Yes,98.6,"Python, Statistics, SQL, ML",London,Small,Growth
2020,Data Scientist,Technology,22.6,Low,High,Yes,105345,7,100.0,No,118.6,"Statistics, TensorFlow, Python, ML, SQL",Tokyo,Medium,Growth
2020,Data Scientist,Technology,22.4,Low,High,Yes,107952,7,40.0,No,108.6,"ML, SQL",Toronto,Large,Growth
2020,Data Scientist,Technology,33.9,Low,High,Yes,88564,3,40.0,No,102.0,"ML, Statistics",Dubai,Small,Growth
2020,Data Scientist,Technology,23.4,Low,High,Yes,115160,8,80.0,Yes,102.6,"TensorFlow, SQL, ML, Python",San Francisco,Large,Growth
2020,Data Scientist,Technology,27.2,Low,High,Yes,102359,3,100.0,No,106.0,"Statistics, Python, SQL, TensorFlow, ML",Tokyo,Medium,Growth
2020,Data Scientist,Technology,30.5,Low,High,Yes,125276,5,40.0,Yes,82.8,"SQL, TensorFlow",Sydney,Medium,Growth
2020,Data Scientist,Technology,26.1,Low,High,Yes,92425,4,80.0,No,116.2,"Statistics, ML, TensorFlow, Python",Singapore,Small,Growth
2020,Data Scientist,Technology,27.9,Low,High,Yes,90378,5,100.0,No,107.3,"TensorFlow, SQL, Python, Statistics, ML",Tokyo,Medium,Growth
2020,Data Scientist,Technology,29.5,Low,High,Yes,97919,6,100.0,No,96.9,"SQL, ML, TensorFlow, Python, Statistics",Tokyo,Medium,Growth
2020,Data Scientist,Technology,24.6,Low,High,Yes,104914,5,100.0,No,97.2,"ML, SQL, Python, Statistics, TensorFlow",New York,Medium,Growth
2020,Data Scientist,Technology,31.5,Low,High,Yes,95199,3,60.0,Yes,118.3,"ML, TensorFlow, Python",Tokyo,Large,Growth
2020,Data Scientist,Technology,23.5,Low,High,Yes,105673,11,40.0,No,111.7,"ML, SQL",Toronto,Medium,Growth
2020,Data Scientist,Technology,14.5,Low,High,Yes,111819,10,80.0,No,107.5,"TensorFlow, Statistics, Python, SQL",London,Large,Growth
2020,Data Scientist,Technology,27.0,Low,High,Yes,90198,0,80.0,No,83.3,"Python, SQL, Statistics, ML",Dubai,Medium,Growth
2020,Data Scientist,Technology,21.7,Low,High,Yes,107921,0,80.0,No,89.9,"SQL, Python, ML, TensorFlow",Singapore,Medium,Growth
2020,ML Engineer,Technology,18.2,Low,High,Yes,117123,6,80.0,No,103.3,"Deep Learning, Docker, Kubernetes, MLOps",Sydney,Small,Growth
2020,ML Engineer,Technology,20.3,Low,High,Yes,120818,4,80.0,No,83.0,"MLOps, Docker, Deep Learning, Kubernetes",Dubai,Small,Growth
2020,ML Engineer,Technology,21.4,Low,High,Yes,125804,2,80.0,No,118.0,"MLOps, Deep Learning, Python, Kubernetes",Toronto,Medium,Growth
2020,ML Engineer,Technology,16.2,Low,High,Yes,100374,6,40.0,No,112.6,"Deep Learning, MLOps",Berlin,Small,Growth
2020,ML Engineer,Technology,29.4,Low,High,Yes,128531,0,40.0,No,117.3,"Kubernetes, Docker",Paris,Small,Growth
2020,ML Engineer,Technology,21.7,Low,High,Yes,109848,0,80.0,No,113.7,"MLOps, Docker, Deep Learning, Python",Berlin,Large,Growth
